780789	420429	9949
401405	410414	8650
710719	410414	7151
999001	401405	15691
360379	420429	6995
999001	410414	17856
360379	410414	7910
520529	420429	6787
420429	999999	64964
999001	520529	14249
530539	420429	6973
999001	530539	14842
999001	725729	13054
710719	420429	6153
999001	270279	5529
270279	410414	5529
780789	410414	10976
725729	420429	6125
999001	720724	12953
401405	420429	7041
690698	410414	5276
999001	460466	21331
999001	710719	13304
720724	420429	6005
410414	999999	81449
720724	410414	6948
999001	690698	5276
520529	410414	7462
460466	410414	11229
460466	420429	10102
999001	420429	14413
999001	780789	20925
999001	360379	14905
725729	410414	6929
530539	410414	7869
