725729	410414	3820
460466	410414	11229
780789	420429	14457
710719	410414	3509
460466	725729	7241
999001	490496	3816
520529	420429	3614
420429	999999	80916
999001	560569	4105
460466	710719	3509
530539	420429	14112
999001	530539	6973
999001	725729	6125
460466	720724	3633
710719	420429	6153
999001	270279	4499
780789	410414	4783
725729	420429	9546
780789	530539	3399
999001	720724	6005
690698	420429	4890
460466	780789	9291
590599	420429	3610
999001	460466	60245
999001	710719	6153
460466	530539	7785
720724	420429	6005
460466	520529	7455
410414	999999	31581
999001	690698	4890
720724	410414	3633
520529	410414	3841
490496	410414	3816
460466	420429	10102
560569	420429	4105
999001	780789	13348
999001	840848	3556
999001	590599	3610
999001	420429	14413
530539	410414	4045
270279	420429	4499
840848	420429	3556
