Key	Amount
725729 (interacts with) 410414	3820
460466 (interacts with) 410414	11229
780789 (interacts with) 420429	14457
710719 (interacts with) 410414	3509
460466 (interacts with) 725729	7241
999001 (interacts with) 490496	3816
520529 (interacts with) 420429	3614
420429 (interacts with) 999999	80916
999001 (interacts with) 560569	4105
460466 (interacts with) 710719	3509
530539 (interacts with) 420429	14112
999001 (interacts with) 530539	6973
999001 (interacts with) 725729	6125
460466 (interacts with) 720724	3633
710719 (interacts with) 420429	6153
999001 (interacts with) 270279	4499
780789 (interacts with) 410414	4783
725729 (interacts with) 420429	9546
780789 (interacts with) 530539	3399
999001 (interacts with) 720724	6005
690698 (interacts with) 420429	4890
460466 (interacts with) 780789	9291
590599 (interacts with) 420429	3610
999001 (interacts with) 460466	60245
999001 (interacts with) 710719	6153
460466 (interacts with) 530539	7785
720724 (interacts with) 420429	6005
460466 (interacts with) 520529	7455
410414 (interacts with) 999999	31581
999001 (interacts with) 690698	4890
720724 (interacts with) 410414	3633
520529 (interacts with) 410414	3841
490496 (interacts with) 410414	3816
460466 (interacts with) 420429	10102
560569 (interacts with) 420429	4105
999001 (interacts with) 780789	13348
999001 (interacts with) 840848	3556
999001 (interacts with) 590599	3610
999001 (interacts with) 420429	14413
530539 (interacts with) 410414	4045
270279 (interacts with) 420429	4499
840848 (interacts with) 420429	3556
