Key	Amount
650659 (interacts with) 999998	2022
780789 (interacts with) 560569	133
90099 (interacts with) 650659	551
690698 (interacts with) 401405	803
999001 (interacts with) 90099	177
249259 (interacts with) 401405	130
999001 (interacts with) 210229	140
520529 (interacts with) 401405	235
617629 (interacts with) 640649	1931
640649 (interacts with) 999998	917
780789 (interacts with) 460466	186
780789 (interacts with) 401405	717
999001 (interacts with) 690698	468
640649 (interacts with) 401405	2416
617629 (interacts with) 560569	132
780789 (interacts with) 640649	294
614616 (interacts with) 401405	169
999001 (interacts with) 617629	2420
460466 (interacts with) 555558	149
999001 (interacts with) 249259	405
999001 (interacts with) 110118	157
617629 (interacts with) 401405	1694
210229 (interacts with) 401405	140
617629 (interacts with) 650659	956
460466 (interacts with) 617629	833
530539 (interacts with) 640649	297
614616 (interacts with) 640649	192
249259 (interacts with) 640649	275
690698 (interacts with) 640649	144
460466 (interacts with) 520529	235
780789 (interacts with) 614616	169
999001 (interacts with) 555558	215
630639 (interacts with) 401405	131
999001 (interacts with) 640649	556
617629 (interacts with) 690698	145
780789 (interacts with) 90099	121
999001 (interacts with) 401405	1524
999001 (interacts with) 560569	231
780789 (interacts with) 617629	448
999001 (interacts with) 630639	131
460466 (interacts with) 401405	1225
555558 (interacts with) 401405	364
460466 (interacts with) 690698	189
617629 (interacts with) 90099	131
780789 (interacts with) 690698	145
520529 (interacts with) 617629	332
640649 (interacts with) 650659	275
650659 (interacts with) 999999	473
460466 (interacts with) 90099	122
460466 (interacts with) 640649	396
460466 (interacts with) 560569	158
530539 (interacts with) 650659	163
401405 (interacts with) 999998	7952
999001 (interacts with) 520529	332
999001 (interacts with) 530539	297
110118 (interacts with) 401405	157
999001 (interacts with) 460466	3121
401405 (interacts with) 999999	1857
401405 (interacts with) 650659	550
640649 (interacts with) 999999	202
999001 (interacts with) 780789	2213
999001 (interacts with) 614616	192
560569 (interacts with) 401405	654
