780789	560569	133
90099	650659	551
690698	401405	803
999001	90099	177
249259	401405	130
999001	210229	140
520529	401405	235
617629	640649	1931
780789	460466	186
780789	401405	717
999001	690698	468
640649	401405	2416
617629	560569	132
780789	640649	294
614616	401405	169
999001	617629	2420
460466	555558	149
999001	249259	405
999001	110118	157
617629	401405	1694
210229	401405	140
617629	650659	956
460466	617629	833
530539	640649	297
614616	640649	192
249259	640649	275
690698	640649	144
460466	520529	235
780789	614616	169
999001	555558	215
630639	401405	131
999001	640649	556
617629	690698	145
780789	90099	121
999001	401405	1524
999001	560569	231
780789	617629	448
999001	630639	131
460466	401405	1225
555558	401405	364
460466	690698	189
617629	90099	131
780789	690698	145
520529	617629	332
640649	650659	275
650659	999999	473
460466	90099	122
460466	640649	396
460466	560569	158
530539	650659	163
999001	520529	332
999001	530539	297
110118	401405	157
999001	460466	3121
401405	999999	1857
401405	650659	550
640649	999999	202
999001	780789	2213
999001	614616	192
560569	401405	654
