780789	560569	133
90099	650659	551
690698	401405	803
999001	90099	177
660669	650659	123
249259	401405	130
999001	210229	140
520529	401405	392
617629	640649	1931
780789	401405	994
780789	460466	186
617629	780789	277
999001	690698	468
640649	401405	2573
617629	560569	132
780789	640649	451
614616	401405	169
999001	617629	3496
617629	460466	333
460466	555558	149
999001	249259	530
999001	110118	157
460466	660669	123
617629	401405	1878
210229	401405	140
617629	650659	956
617629	520529	282
460466	617629	833
530539	640649	297
614616	640649	192
249259	640649	275
401405	640649	688
460466	520529	235
690698	640649	144
780789	614616	169
999001	555558	215
630639	401405	131
999001	640649	556
617629	690698	145
999001	401405	2696
780789	90099	121
999001	560569	231
780789	617629	448
460466	401405	1435
999001	630639	131
555558	401405	364
460466	690698	189
617629	90099	131
780789	690698	145
520529	617629	332
640649	650659	275
401405	780789	275
650659	999999	525
401405	460466	393
460466	90099	122
460466	640649	546
460466	560569	158
530539	650659	163
999001	520529	332
780789	999999	51
999001	530539	297
110118	401405	157
520529	650659	125
460466	780789	157
999001	460466	3278
401405	999999	2006
401405	650659	550
640649	999999	364
460466	999999	53
249259	520529	125
999001	780789	2213
999001	614616	192
560569	401405	654
