999001	617629	931
401405	460466	393
460466	640649	150
780789	560569	133
617629	460466	210
617629	690698	145
999001	401405	643
780789	90099	121
90099	650659	121
780789	617629	231
690698	401405	479
999001	249259	255
460466	401405	210
460466	690698	189
249259	401405	130
617629	401405	319
617629	650659	121
617629	640649	231
617629	520529	125
520529	650659	125
999001	460466	189
401405	999999	265
780789	690698	145
401405	640649	184
401405	650659	385
640649	999999	100
460466	999999	53
249259	520529	125
640649	401405	110
999001	780789	630
617629	560569	132
560569	401405	265
650659	999999	164
